segs,recived,sent,recived_dt,sent_dt
0.007,0,0,0,0
3.61,223,105,223,105
9.648,223,167,223,62
15.587,223,196,223,29
21.626,223,225,223,29
27.605,1177,1114,954,889
33.629,1892,2910,715,1796
39.586,1892,2974,715,64
45.647,1892,3004,715,30
51.605,1892,3034,715,30
57.563,1892,3064,715,30
63.578,1898,3100,6,36
69.639,1898,3164,6,64
75.56,5156778,3194,5154880,30
81.579,21569858,3261,16413080,67
87.574,33458197,24214148,11888339,24210887
93.573,48548128,85261312,15089931,61047164
99.628,48548128,85261384,15089931,72
105.595,48548128,85261418,15089931,34
111.658,48548128,85261452,15089931,34
117.623,48548128,85261486,15089931,34
123.638,48548134,85261526,6,40
129.599,48548134,85261598,6,72
135.563,48548134,85261632,6,34
141.633,48548134,85261666,6,34
147.6,48548134,85261700,6,34
153.559,54224294,85261734,5676160,34
159.568,68624654,85261806,14400360,72
165.618,72964427,109678171,4339773,24416365
171.567,72964427,109678244,4339773,73
177.566,73036827,109678279,72400,35
183.569,80276833,109678358,7240006,79
189.643,97413966,170781460,17137133,61103102
195.642,97414807,170783097,841,1637
201.608,97414807,170783170,841,73
207.571,97414807,170783205,841,35
213.637,97414807,170783240,841,35
219.603,97414807,170783275,841,35
225.569,97414807,170783310,841,35
231.625,97414807,170783345,841,35
237.585,97414807,170783380,841,35
243.576,97414813,170783421,6,41
249.57,100687293,170783494,3272480,73
255.564,112560893,170783568,11873600,74
261.596,121560250,182990319,8999357,12206751
267.625,121826038,195194941,265788,12204622
273.572,121826038,195195015,265788,74
279.564,127379118,195195050,5553080,35
285.591,134032379,207401465,6653261,12206415
291.608,146240354,256231645,12207975,48830180
297.572,146240354,256231719,12207975,74
303.642,146240358,256231758,4,39
309.627,146240360,256231834,2,76
315.593,146240360,256231908,2,74
321.657,146240360,256231943,2,35
327.619,146240360,256231978,2,35
333.559,148991560,256232013,2751200,35
339.609,156224320,256232087,7232760,74
345.606,159774904,268449025,3550584,12216938
351.571,171322704,268449099,11547800,74
357.566,182272824,280651813,10950120,12202714
363.571,195071381,341691721,12798557,61039908
