segs,recived,sent,recived_dt,sent_dt
0.009,0,0,0,0
3.313,223,105,223,105
9.351,223,167,223,62
15.3,223,196,223,29
21.341,223,225,223,29
27.355,1177,1114,954,889
33.337,1888,2906,711,1792
39.303,1888,2970,711,64
45.361,1888,3000,711,30
51.337,1888,3030,711,30
57.305,1888,3060,711,30
63.387,1894,3096,6,36
69.345,1894,3160,6,64
75.31,4411054,3190,4409160,30
81.306,12404014,3257,7992960,67
87.336,20159182,12102493,7755168,12099236
93.349,27233378,24201321,7074196,12098828
99.345,34400978,24201393,7167600,72
105.345,48522439,85199014,14121461,60997621
111.305,48522439,85199086,14121461,72
117.372,48522439,85199120,14121461,34
123.35,48522445,85199160,6,40
129.315,48522445,85199232,6,72
135.386,48522445,85199266,6,34
141.347,48522445,85199300,6,34
147.313,48522445,85199334,6,34
153.344,55248405,85199368,6725960,34
159.313,67053817,97403052,11805412,12203684
165.308,81389017,97403124,14335200,72
171.328,97334337,170624829,15945320,73221705
177.381,97334337,170624902,15945320,73
183.33,97334343,170624943,6,41
189.394,97334343,170625016,6,73
195.353,97334343,170625051,6,35
201.325,97334343,170625086,6,35
207.39,97334343,170625121,6,35
213.322,98717183,170625156,1382840,35
219.316,105884783,170625229,7167600,73
225.323,112414241,182823681,6529458,12198452
231.32,119581841,182823755,7167600,74
237.302,125781226,195020830,6199385,12197075
243.298,132948832,195020910,7167606,80
